Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
189,Josh Bell,31,2TM,NL,98,97,53,813.0,739,685,47,7,58,.991,-4,-6,-9,-13,8.10,8.29,7.47,8.18,,,,,,,3D/H,,belljo02
189,Josh Bell,31,MIA,NL,67,67,38,561.0,511,472,32,7,39,.986,-4,-9,-7,-15,8.09,8.29,7.52,8.18,,,,,,,3D,,belljo02
189,Josh Bell,31,ARI,NL,31,30,15,252.0,228,213,15,0,19,1.000,0,0,-2,-10,8.14,8.29,7.35,8.18,,,,,,,3/DH,,belljo02
190,Thairo Estrada,28,SFG,NL,94,93,90,811.2,387,121,264,2,63,.995,-4,-6,-7,-10,4.27,4.15,4.10,4.09,,,,,,,4/DH,,estrath01
191,Lenyn Sosa,24,CHW,AL,97,91,84,807.1,288,115,167,6,42,.979,-6,-9,-9,-13,3.14,3.18,2.79,3.23,,,,,,,54/H3D,,sosale01
192,Nick Gonzales,25,PIT,NL,93,91,87,806.1,401,153,241,7,64,.983,0,0,-5,-7,4.40,4.10,4.15,4.03,,,,,,,4/6H5,,gonzani01
193,Max Kepler,31,MIN,AL,103,88,84,806.1,176,172,4,0,1,1.000,1,1,0,0,1.96,2.27,1.71,2.24,,,,,,,9H/D,,keplema01
194,Anthony Rizzo,34,NYY,AL,92,91,83,801.2,679,602,74,3,58,.996,1,1,2,3,7.59,8.03,7.35,7.92,,,,,,,3/H,,rizzoan01
195,Tyler O'Neill,29,BOS,AL,95,90,59,799.2,162,151,4,7,0,.957,-2,-3,1,2,1.74,2.27,1.63,2.24,,,,,,,79D/H,,oneilty01
196,Spencer Torkelson,24,DET,AL,90,90,85,799.2,763,701,58,4,59,.995,4,6,2,3,8.54,8.03,8.43,7.92,,,,,,,3/D,,torkesp01
197,Jonny DeLuca,25,TBR,AL,97,87,69,794.0,227,219,6,2,2,.991,6,9,5,8,2.55,2.27,2.32,2.24,,,,,,,98H7/D,,delucjo01
198,Jake Cave,31,COL,NL,116,83,61,790.2,190,184,5,1,1,.995,-7,-10,-6,-9,2.15,2.21,1.63,2.18,,,,,,,*97H/8D,,caveja01
199,LaMonte Wade Jr.,30,SFG,NL,104,92,70,785.0,739,660,78,1,59,.999,-5,-7,1,2,8.46,7.96,6.96,7.50,,,,,,,3H9/D7,,wadela01
